,group_sub,batch_sub
GFP-1,gfp,1
GFP-2,gfp,1
GFP-3,gfp,1
GFP-4,gfp,1
GFP-5,gfp,1
GFP-6,gfp,1
GFP-7,gfp,1
GFP-8,gfp,1
GFP-9,gfp,1
GFP-10,gfp,1
GFP-11,gfp,1
GFP-12,gfp,1
HER2-1,her2,1
HER2-2,her2,1
HER2-3,her2,1
HER2-5,her2,1
HER2-6,her2,1
Control1,gfp,2
Control2,gfp,2
Control3,gfp,2
Control4,gfp,2
Control5,gfp,2
Control6,gfp,2
EGFR1,egfr,2
EGFR2,egfr,2
EGFR3,egfr,2
EGFR4,egfr,2
EGFR5,egfr,2
EGFR6,egfr,2
GFP30-1,gfp,3
GFP30-2,gfp,3
GFP30-3,gfp,3
GFP30-4,gfp,3
GFP30-5,gfp,3
GFP30-6,gfp,3
GFP30-7,gfp,3
GFP30-8,gfp,3
GFP30-9,gfp,3
WT-1,kraswt,3
WT-2,kraswt,3
WT-3,kraswt,3
WT-4,kraswt,3
WT-5,kraswt,3
WT-6,kraswt,3
WT-7,kraswt,3
WT-8,kraswt,3
WT-9,kraswt,3
